Date,Open
2017-02-16,336.4
2017-02-17,337.15
2017-02-20,334.5
2017-02-21,326.0
2017-02-22,330.85
2017-02-23,326.7
2017-02-27,326.35
2017-02-28,329.85
2017-03-01,330.6
2017-03-02,335.7
2017-03-03,331.0
2017-03-06,334.35
2017-03-07,340.0
2017-03-08,335.05
2017-03-09,327.05
2017-03-10,325.0
2017-03-14,337.2
2017-03-15,334.1
2017-03-16,336.8
2017-03-17,338.0
2017-03-20,336.0
2017-03-21,332.6
2017-03-22,330.05
2017-03-23,329.9
2017-03-24,331.7
2017-03-27,331.7
2017-03-28,332.2
2017-03-29,331.8
2017-03-30,331.95
2017-03-31,329.95
2017-04-03,333.4
2017-04-05,330.8
2017-04-06,332.2
2017-04-07,334.0
2017-04-10,334.3
2017-04-11,340.5
2017-04-12,337.75
2017-04-13,334.1
2017-04-17,334.75
2017-04-18,334.45
2017-04-19,331.1
2017-04-20,332.7
2017-04-21,324.8
2017-04-24,323.0
2017-04-25,324.0
2017-04-26,328.2
2017-04-27,327.95
2017-04-28,323.8
2017-05-02,328.0
2017-05-03,332.5
2017-05-04,331.0
2017-05-05,331.0
2017-05-08,322.6
2017-05-09,325.0
2017-05-10,324.05
2017-05-11,324.9
2017-05-12,316.0
2017-05-15,320.0
2017-05-16,323.1
2017-05-17,322.8
2017-05-18,319.3
2017-05-19,320.0
2017-05-22,318.5
2017-05-23,316.5
2017-05-24,311.15
2017-05-25,305.5
2017-05-26,307.8
2017-05-29,311.85
2017-05-30,305.0
2017-05-31,315.0
2017-06-01,307.9
2017-06-02,304.9
2017-06-05,302.0
2017-06-06,303.3
2017-06-07,302.7
2017-06-08,298.75
2017-06-09,292.0
2017-06-12,289.9
2017-06-13,288.45
2017-06-14,293.1
2017-06-15,295.65
2017-06-16,301.0
2017-06-19,295.3
2017-06-20,292.85
2017-06-21,294.0
2017-06-22,286.75
2017-06-23,282.95
2017-06-27,276.5
2017-06-28,270.0
2017-06-29,266.5
2017-06-30,266.9
2017-07-03,260.0
2017-07-04,262.0
2017-07-05,263.85
2017-07-06,268.25
2017-07-07,264.0
2017-07-10,265.0
2017-07-11,265.95
2017-07-12,264.1
2017-07-13,267.6
2017-07-14,266.7
2017-07-17,271.9
2017-07-18,277.8
2017-07-19,278.8
2017-07-20,285.0
2017-07-21,286.3
2017-07-24,282.0
2017-07-25,281.35
2017-07-26,280.15
2017-07-27,282.0
2017-07-28,278.05
2017-07-31,281.75
2017-08-01,290.95
2017-08-02,286.0
2017-08-03,282.25
2017-08-04,286.7
2017-08-07,285.6
2017-08-08,287.0
2017-08-09,280.4
2017-08-10,282.1
2017-08-11,278.1
2017-08-14,281.0
2017-08-16,280.0
2017-08-17,287.9
2017-08-18,282.0
2017-08-21,286.95
2017-08-22,270.5
2017-08-23,275.3
2017-08-24,279.9
2017-08-28,283.9
2017-08-29,286.1
2017-08-30,289.05
2017-08-31,293.9
2017-09-01,287.95
2017-09-04,297.8
2017-09-05,309.0
2017-09-06,307.0
2017-09-07,311.9
2017-09-08,307.5
2017-09-11,312.2
2017-09-12,334.0
2017-09-13,330.5
2017-09-14,320.9
2017-09-15,322.05
2017-09-18,325.0
2017-09-19,325.05
2017-09-20,330.0
2017-09-21,328.0
2017-09-22,327.9
2017-09-25,325.3
2017-09-26,334.0
2017-09-27,349.7
2017-09-28,349.9
2017-09-29,345.95
2017-10-03,353.0
2017-10-04,356.0
2017-10-05,350.9
2017-10-06,348.9
2017-10-09,348.5
2017-10-10,345.8
2017-10-11,355.8
2017-10-12,346.1
2017-10-13,347.9
2017-10-16,353.4
2017-10-17,348.2
2017-10-18,345.1
2017-10-19,343.4
2017-10-23,343.0
2017-10-24,339.7
2017-10-25,347.0
2017-10-26,338.25
2017-10-27,353.4
2017-10-30,352.55
2017-10-31,377.0
2017-11-01,374.9
2017-11-02,369.25
2017-11-03,361.0
2017-11-06,363.0
2017-11-07,376.0
2017-11-08,372.6
2017-11-09,365.9
2017-11-10,363.8
2017-11-13,365.0
2017-11-14,356.1
2017-11-15,352.5
2017-11-16,352.5
2017-11-17,353.95
2017-11-20,347.1
2017-11-21,353.0
2017-11-22,355.6
2017-11-23,365.0
2017-11-24,365.0
2017-11-27,371.7
2017-11-28,368.05
2017-11-29,375.0
2017-11-30,366.25
2017-12-01,361.6
2017-12-04,360.55
2017-12-05,361.0
2017-12-06,354.0
2017-12-07,350.85
2017-12-08,352.9
2017-12-11,362.0
2017-12-12,361.0
2017-12-13,354.6
2017-12-14,360.0
2017-12-15,358.0
2017-12-18,354.2
2017-12-19,352.05
2017-12-20,355.25
2017-12-21,355.2
2017-12-22,360.0
2017-12-26,360.0
2017-12-27,361.0
2017-12-28,361.5
2017-12-29,375.5
2018-01-01,374.0
2018-01-02,374.85
2018-01-03,376.0
2018-01-04,381.1
2018-01-05,382.0
2018-01-08,378.65
2018-01-09,380.8
2018-01-10,377.55
2018-01-11,384.7
2018-01-12,384.4
2018-01-15,384.85
2018-01-16,379.9
2018-01-17,376.2
2018-01-18,385.0
2018-01-19,375.0
2018-01-22,377.45
2018-01-23,373.0
2018-01-24,375.0
2018-01-25,380.0
2018-01-29,381.7
2018-01-30,365.6
2018-01-31,359.45
2018-02-01,359.9
2018-02-02,355.2
2018-02-05,340.0
2018-02-06,330.9
2018-02-07,351.0
2018-02-08,361.9
2018-02-09,360.0
2018-02-12,363.0
2018-02-14,361.0
2018-02-15,360.9
2018-02-16,363.95
2018-02-19,364.0
2018-02-20,360.2
2018-02-21,347.0
2018-02-22,342.8
2018-02-23,341.5
2018-02-26,348.65
2018-02-27,351.0
2018-02-28,347.0
2018-03-01,349.45
2018-03-05,347.0
2018-03-06,350.35
2018-03-07,344.15
2018-03-08,336.2
2018-03-09,326.9
2018-03-12,326.9
2018-03-13,326.5
2018-03-14,327.0
2018-03-15,345.0
2018-03-16,335.15
2018-03-19,337.4
2018-03-20,338.1
2018-03-21,330.0
2018-03-22,334.0
2018-03-23,339.35
2018-03-26,353.0
2018-03-27,215.0
2018-03-28,215.1
2018-04-02,220.5
2018-04-03,225.0
2018-04-04,223.9
2018-04-05,216.5
2018-04-06,216.55
2018-04-09,218.0
2018-04-10,217.4
2018-04-11,219.05
2018-04-12,221.65
2018-04-13,218.0
2018-04-16,216.7
2018-04-17,217.4
2018-04-18,218.7
2018-04-19,219.8
2018-04-20,225.95
2018-04-23,230.25
2018-04-24,234.45
2018-04-25,236.5
2018-04-26,236.25
2018-04-27,236.5
2018-04-30,229.25
2018-05-02,233.6
2018-05-03,224.0
2018-05-04,229.0
2018-05-07,223.8
2018-05-08,230.6
2018-05-09,228.3
2018-05-10,231.55
2018-05-11,232.55
2018-05-14,236.5
2018-05-15,236.5
2018-05-16,237.5
2018-05-17,239.75
2018-05-18,245.95
2018-05-21,242.9
2018-05-22,239.5
2018-05-23,239.0
2018-05-24,233.0
2018-05-25,213.4
